Player|Innings|Overs|Maidens|Runs|Wickets|Average|Economy|StrikeRate|FourWickets|FiveWickets|Country
A Ashok|1|4|0|28|1|28|7|24|0|0|New Zealand
A Athanaze|||||||||||West Indies
A Dananjaya|33|116.5|1|965|30|32.1666666666667|8.25962910128388|23.3666666666667|0|0|Sri Lanka
A Flintoff|7|25|0|161|5|32.2|6.44|30|0|0|England
A Martin|1|3|0|20|1|20|6.66666666666667|18|0|0|West Indies
A Mishra|10|38|1|240|16|15|6.31578947368421|14.25|0|0|India
A Nehra|27|98|2|758|34|22.2941176470588|7.73469387755102|17.2941176470588|0|0|India
A Nel|2|8|0|42|2|21|5.25|24|0|0|South Africa
A Nortje|35|121.5|0|858|46|18.6521739130435|7.04240766073871|15.8913043478261|3|0|South Africa
A Shahzad|3|11|0|97|3|32.3333333333333|8.81818181818182|22|0|0|England
A Symonds|12|30.5|0|277|8|34.625|8.98378378378378|23.125|0|0|Australia
A Zampa|81|293.5|1|2134|96|22.2291666666667|7.26262053318208|18.3645833333333|1|1|Australia
AA Noffke|2|7.3|1|41|4|10.25|5.46666666666667|11.25|0|0|Australia
AAP Atkinson|3|8.5|0|84|6|14|9.50943396226415|8.83333333333333|1|0|England
AB Agarkar|3|10.3|1|85|3|28.3333333333333|8.09523809523809|21|0|0|India
AB Barath|||||||||||West Indies
AB Dinda|9|30|1|245|17|14.4117647058824|8.16666666666667|10.5882352941176|1|0|India
AB de Villiers|||||||||||South Africa
AC Agar|47|165.4|1|1073|48|22.3541666666667|6.47686116700201|20.7083333333333|0|2|Australia
AC Gilchrist|||||||||||Australia
AC Thomas|1|4|0|25|3|8.33333333333333|6.25|8|0|0|South Africa
AC Voges|1|2|0|5|2|2.5|2.5|6|0|0|Australia
ACL Richards|||||||||||West Indies
AD Hales|||||||||||England
AD Mascarenhas|14|42|0|309|12|25.75|7.35714285714286|21|0|0|England
AD Mathews|71|192.5|4|1369|45|30.4222222222222|7.09939498703544|25.7111111111111|0|0|Sri Lanka
AD Russell|66|180.2|0|1696|52|32.6153846153846|9.40480591497227|20.8076923076923|0|0|West Indies
ADS Fletcher|||||||||||West Indies
AF Milne|51|180.5|3|1524|61|24.9836065573771|8.42764976958525|17.7868852459016|2|1|New Zealand
AG Prince|||||||||||South Africa
AJ Finch|2|2|0|27|0|Inf|13.5|Inf|0|0|Australia
AJ Hall|2|8|0|60|3|20|7.5|16|0|0|South Africa
AJ Hosein|49|174|0|1305|45|29|7.5|23.2|1|1|West Indies
AJ McKay|2|5.4|0|31|2|15.5|5.47058823529412|17|0|0|New Zealand
AJ Redmond|1|2.5|0|24|2|12|8.47058823529412|8.5|0|0|New Zealand
